scenario,strategy,seed,episode_reward,episode_steps,samples,avg_offered_load_mbps,avg_accepted_load_mbps,avg_capacity_mbps,avg_goodput_mbps,avg_queue,final_capacity_mbps,final_goodput_mbps,final_queue,final_blocked_rate,final_blocked_queue_cap_rate,final_blocked_timeout_rate,final_utilization,final_fairness,avg_utilization,avg_fairness,avg_acceptance_rate,avg_service_rate,final_mean_served_delay_s,final_p95_served_delay_s,final_mean_timeout_delay_s
both_q5_t40,ppo_v4,42,21.32408274355835,600,600,766.2760178948384,430.54315494251847,150.9498689385103,150.73503673552767,75.33833333333334,151.76629134525385,151.76629134525388,81,0.7623430962343096,0.43598326359832634,0.3263598326359833,1.0,0.646889027453917,0.99625,0.6843751756292575,0.5992694684410164,0.19807310336817707,26.763860369609855,39.0,40.0
both_q5_t40,ppo_v4,43,27.68385068521798,600,600,759.8008368706072,417.71017633680475,154.83580800287638,154.69953210779838,75.20666666666666,160.8511592631567,160.85115926315666,69,0.7745735174654752,0.46222583265637696,0.3123476848090983,1.0,0.626613478585895,0.9985416666666667,0.6689682446019464,0.5825930884917444,0.20569961382190008,27.84156378600823,40.0,40.0
both_q5_t40,ppo_v4,44,26.8896094041675,600,600,764.4133077715236,425.44871947739296,153.349904132452,152.93660680657695,75.43333333333334,157.3339180103759,157.33391801037587,79,0.7582236842105263,0.44243421052631576,0.3157894736842105,1.0,0.6622953851075065,0.9989583333333333,0.6781658668867174,0.6012024869552784,0.2258637384993979,26.81728880157171,39.0,40.0
both_q5_t40,ppo_v4,45,29.292941800355873,600,600,787.1612102454801,435.73803073145723,155.18236515454282,154.80994462557908,74.11833333333334,151.76629134525385,151.76629134525388,68,0.7680623973727422,0.4523809523809524,0.3156814449917898,1.0,0.646889027453917,0.9985416666666667,0.669615215491389,0.6007257136054514,0.21525280474590033,25.907444668008047,40.0,40.0
both_q5_t40,ppo_v4,46,32.862565479686104,600,600,752.7792334683929,421.8066131963396,154.6136194231578,154.46039457089893,74.99333333333334,155.3886872993849,155.38868729938497,77,0.7690659811482433,0.43573264781491,0.3333333333333333,1.0,0.6822646917827434,0.9985416666666667,0.6734328714126903,0.6044915445750512,0.2060624091767302,28.365800865800868,40.0,40.0
both_q5_t40,ppo_v4,47,19.410090040765017,600,600,776.7866375396233,427.5880104644414,152.45981476885888,152.32076387855105,75.79666666666667,151.76629134525385,151.76629134525388,76,0.7903091060985797,0.4515455304928989,0.3387635756056809,1.0,0.646889027453917,0.9995833333333334,0.6843529044533063,0.5757206013516989,0.16777515493997225,28.272300469483568,40.0,40.0
both_q5_t40,ppo_v4,48,22.1721484176906,600,600,786.1313096884865,439.5558079380809,155.9717875286458,155.83788720266037,76.90666666666667,151.76629134525385,151.76629134525388,72,0.7778235779060181,0.4488870568837593,0.32893652102225884,1.0,0.646889027453917,0.9975,0.6583993257847408,0.5996361894971136,0.1926617637207673,28.18629550321199,40.0,40.0
both_q5_t40,ppo_v4,49,30.459788080614295,600,600,743.3465389769656,420.8407459442985,154.95267740042294,154.4827436756338,75.23166666666667,156.12030133355066,156.12030133355066,83,0.7649501661129569,0.4426910299003322,0.3222591362126246,1.0,0.6796724749905261,0.99875,0.6751066733637427,0.611655014313332,0.2204493108861951,26.59006211180124,39.0,40.0
both_q5_t40,ppo_v4,50,24.13543178178814,600,600,778.7999490711376,410.6727631641869,154.92730243875266,154.57331419529734,75.01,156.12030133355066,156.12030133355066,71,0.7762237762237763,0.45701357466063347,0.3192102015631427,1.0,0.6796724749905261,0.9983333333333333,0.6638668902171528,0.5899128092143278,0.20339156237582018,27.602536997885835,40.0,40.0
both_q5_t40,ppo_v4,51,12.838295934868183,600,600,770.4303003527792,429.95239701228303,151.88769886462035,151.69052733751917,76.55,160.73593206595606,160.73593206595604,70,0.7847478474784748,0.44977449774497746,0.33497334973349735,1.0,0.589111887386353,0.9989583333333333,0.6899903791147906,0.5986608229527284,0.20283305713086544,27.2021978021978,40.0,40.0
both_q10_t20,ppo_v4,42,67.20339482204527,600,600,766.2760178948384,762.4486799761595,158.33675462412822,157.79701375850064,72.79833333333333,156.12030133355066,156.12030133355066,92,0.7610878661087866,0.0041841004184100415,0.7569037656903765,1.0,0.6796724749905261,0.99625,0.6575774960637636,0.9966329555581198,0.19886719799084998,14.64509394572025,20.0,20.0
both_q10_t20,ppo_v4,43,68.46324176632687,600,600,759.8008368706072,753.7891291947797,158.68073143870572,158.36231226114364,75.35666666666667,156.4300892994309,156.43008929943085,71,0.7579203899268887,0.006904955320877335,0.7510154346060114,1.0,0.7038430354175141,0.9985416666666667,0.66146474497976,0.9930888766807139,0.2128947467885284,15.388571428571428,20.0,20.0
both_q10_t20,ppo_v4,44,71.33436661423136,600,600,764.4133077715236,757.2351991811967,159.92015055611657,159.27753895778716,73.52166666666666,154.19634458987738,154.1963445898774,77,0.7639802631578947,0.008634868421052632,0.7553453947368421,1.0,0.6887386506698299,0.9989583333333333,0.6587808417647348,0.9931512501587372,0.21835569107454186,14.173038229376257,20.0,20.0
both_q10_t20,ppo_v4,45,70.5744786954594,600,600,787.1612102454801,784.9926282913852,160.5848339558557,159.97426663870556,74.1,153.4355044970465,153.43550449704648,80,0.7688834154351396,0.0028735632183908046,0.7660098522167488,1.0,0.6666627165431153,0.9985416666666667,0.651945851749064,0.996419917710345,0.2226847891981023,13.923395445134576,20.0,20.0
both_q10_t20,ppo_v4,46,80.70175890726846,600,600,752.7792334683929,746.639121369468,160.35402470918964,159.99905268784087,71.42166666666667,157.9320370936911,157.9320370936911,65,0.7763496143958869,0.005998286203941731,0.7703513281919452,1.0,0.7315717010764378,0.9985416666666667,0.6503554465928134,0.9948055297477587,0.20447304843413883,14.879649890590809,20.0,20.0
both_q10_t20,ppo_v4,47,70.00475288526482,600,600,776.7866375396233,771.187187576032,160.62153696960428,160.23739272924558,73.48833333333333,156.12030133355066,155.93757670999472,76,0.7815371762740184,0.007518796992481203,0.7740183792815372,1.0,0.6796724749905261,0.9995833333333334,0.6469429490544906,0.9947183470599612,0.18190473533694673,14.946308724832214,20.0,20.0
both_q10_t20,ppo_v4,48,64.73254075524315,600,600,786.1313096884865,778.7884703841933,161.25286780189893,160.81019723828575,74.66666666666667,158.56991462140212,158.56991462140215,72,0.7728771640560593,0.008656224237427864,0.7642209398186315,1.0,0.7222007585901669,0.9975,0.642497111645253,0.9899249146035136,0.20092291939605325,15.323590814196242,20.0,20.0
