scenario,strategy,avg_offered_load_mbps_mean,avg_offered_load_mbps_std,avg_accepted_load_mbps_mean,avg_accepted_load_mbps_std,avg_capacity_mbps_mean,avg_capacity_mbps_std,avg_goodput_mbps_mean,avg_goodput_mbps_std,avg_queue_mean,avg_queue_std,final_queue_mean,final_queue_std,final_blocked_rate_mean,final_blocked_rate_std,final_blocked_queue_cap_rate_mean,final_blocked_queue_cap_rate_std,final_blocked_timeout_rate_mean,final_blocked_timeout_rate_std,final_utilization_mean,final_utilization_std,final_fairness_mean,final_fairness_std,avg_acceptance_rate_mean,avg_acceptance_rate_std,avg_service_rate_mean,avg_service_rate_std,final_mean_served_delay_s_mean,final_mean_served_delay_s_std,final_p95_served_delay_s_mean,final_p95_served_delay_s_std,final_mean_timeout_delay_s_mean,final_mean_timeout_delay_s_std
both_q15_t20,greedy_backlog,768.5925341879835,14.199621615207821,768.582956088422,14.195108235120092,192.75530903067823,0.5619571941899005,192.64371442334019,0.6077590290946343,74.65599999999999,1.331353669237665,78.0,6.8150161000869565,0.7203753569071563,0.009365083782083857,8.175271949343723e-05,0.00017235418940383398,0.7202936041876629,0.009380625067858892,1.0,0.0,0.9842572877876835,0.009438446232423299,0.9999663749240911,7.544090946082392e-05,0.2508005439857167,0.018994591432347687,16.37711643665097,0.21855334972394688,20.0,0.0,20.0,0.0
both_q15_t20,longest_queue_first,768.5925341879835,14.199621615207821,768.582956088422,14.195108235120092,153.13413807786822,0.25372128645355974,152.88474956842438,0.2611103901879385,74.8385,1.2008107986165306,77.5,7.184087354084102,0.7733943026906217,0.012595802492862605,8.175271949343723e-05,0.00017235418940383398,0.7733125499711282,0.012610579848380293,1.0,0.0,0.9345130908519632,0.010040177717237234,0.9999663749240911,7.544090946082392e-05,0.2008664878372048,0.02231473314621503,15.344034783247988,0.2717127237986307,20.0,0.0,20.0,0.0
both_q15_t20,proportional_fair,768.5925341879835,14.199621615207821,768.582956088422,14.195108235120092,159.39907716567726,0.5633183764491155,159.30763623547932,0.5991499780455962,75.36766666666668,1.2812846080842355,78.4,7.411702458499892,0.7669843659398885,0.009125490019578495,8.175271949343723e-05,0.00017235418940383398,0.7669026132203951,0.00913462580447555,1.0,0.0,0.7691490096396598,0.05791111130358817,0.9999663749240911,7.544090946082392e-05,0.20712688356402337,0.018095038454162358,16.187195067060788,0.26551545241172747,20.0,0.0,20.0,0.0
both_q15_t20,round_robin,768.5925341879835,14.199621615207821,768.582956088422,14.195108235120092,152.45265531985473,0.2958358591212196,152.0839561820478,0.2688324322805141,74.588,1.1822772543582345,77.4,7.3363630105265525,0.7753547685968007,0.011536739236899445,8.175271949343723e-05,0.00017235418940383398,0.7752730158773072,0.011568356884133432,1.0,0.0,0.9599185613274581,0.011971511084507875,0.9999663749240911,7.544090946082392e-05,0.19971093180841146,0.019958962210548558,14.966902608315134,0.38096552824775826,20.0,0.0,20.0,0.0
both_q5_t10,greedy_backlog,768.5925341879835,14.199621615207821,744.3944507262815,14.442339772090726,192.23112588560593,0.6225085865428949,191.85441928459295,0.6654709673449208,35.17583333333333,0.5122579223519582,33.8,5.902918298980975,0.7409769936381523,0.009782669289561972,0.0319572779429501,0.005130812536125038,0.7090197156952021,0.010797400488345947,1.0,0.0,0.9803869808679364,0.010731439867106615,0.9693250236293018,0.006277293017638705,0.2500736026656609,0.02134053573379943,7.43583290695648,0.12759524072307463,10.0,0.0,10.0,0.0
both_q5_t10,longest_queue_first,768.5925341879835,14.199621615207821,739.5404853218677,14.600109467861484,161.92637640446927,0.5224021778584278,160.85471221799736,0.5353274020937417,35.007,0.47091243190057924,33.9,5.915140648276157,0.7830264263061487,0.014270256602913837,0.03705763417982262,0.004591799582811662,0.745968792126326,0.0148505569522791,1.0,0.0,0.960406694152977,0.01990130098349403,0.964951141412645,0.005667365884520088,0.20912157259700095,0.024659958734875476,6.731630426600726,0.11360019416080108,10.0,0.0,10.0,0.0
both_q5_t10,proportional_fair,768.5925341879835,14.199621615207821,742.413176727218,14.777080166967938,162.57542134333033,0.7158081479322506,162.2997694639239,0.7639473646297086,35.5805,0.5173902042528363,34.3,5.638163609624049,0.781189527578207,0.011529908039732766,0.03423933148381995,0.004950837413296787,0.7469501960943871,0.012642503494755689,1.0,0.0,0.740343891891493,0.060975157679880966,0.9674136317346809,0.005747284279884145,0.21067250394931375,0.022674086783924477,7.331862513064598,0.12552483431368996,10.0,0.0,10.0,0.0
both_q5_t10,round_robin,768.5925341879835,14.199621615207821,739.4353020391359,14.390296382589575,161.7340197161577,0.4897853185076781,160.45144014870942,0.5241995408737142,34.92033333333333,0.45952189324380394,33.6,5.89161362540952,0.7833953311986208,0.012879797653725922,0.037180481270831754,0.0046453271718247735,0.746214849927789,0.013568217325083662,1.0,0.0,0.9675652949959959,0.015283372737814178,0.964713758171813,0.005761684043333728,0.20860521991724648,0.023254038889808815,6.6249486257844294,0.13650665707023033,10.0,0.0,10.0,0.0
both_q5_t40,greedy_backlog,768.5925341879835,14.199621615207821,437.29875557224887,8.709137529337285,190.11001451322812,0.4154499162929789,189.99841990589007,0.4374624843662813,77.89116666666666,0.6181169382752043,78.8,4.049691346263316,0.723642193373945,0.009645495200003271,0.4327119187487594,0.007889839872933653,0.2909302746251855,0.005775499846554664,1.0,0.0,0.9784109046951519,0.012286793759011195,0.6135377035715598,0.00870530457018293,0.24916437675746902,0.01301166719166943,30.186492126145065,0.4429308409890242,39.8,0.4216370213557833,40.0,0.0
both_q5_t40,longest_queue_first,768.5925341879835,14.199621615207821,417.7352797829452,5.667197908038373,151.28884317813012,0.3359989737180996,151.14366813672768,0.3046296683914286,76.33016666666666,0.5634546494397809,78.3,5.696977756280567,0.7745125571685627,0.011625120941136173,0.4538089444332938,0.0065803270896494966,0.3207036127352688,0.009858878655259683,1.0,0.0,0.9338578485001191,0.015154060559847984,0.5900162075598975,0.010219575057180758,0.20247588063290084,0.019594880808913997,29.630287711640182,0.7103015159712401,40.0,0.0,40.0,0.0
both_q5_t40,proportional_fair,768.5925341879835,14.199621615207821,418.2553256154529,5.0668354448726625,152.31170760522144,0.4606170172408761,152.22216452599463,0.45636266965298666,76.78233333333334,0.6135759383309998,78.1,4.998888765404656,0.7721538034551939,0.010841317046917568,0.4527364924244469,0.005967388630776037,0.3194173110307471,0.009541350697843284,1.0,0.0,0.9149093937350041,0.031958151373895106,0.5923811845819744,0.009175429285537485,0.20482181688955428,0.017220638317595575,30.112719592678836,0.5688644931456301,40.0,0.0,40.0,0.0
both_q5_t40,round_robin,768.5925341879835,14.199621615207821,417.76659793289775,5.731136878178037,150.65785117371965,0.3921851008272053,150.46919133482945,0.3517576749483072,75.69216666666667,0.618995627141056,75.8,5.7115866641610396,0.775576660883804,0.009996227347915276,0.4554953462072846,0.00709750571716585,0.3200813146765193,0.008990992890481208,1.0,0.0,0.9478301282734835,0.01031862349945409,0.5884059894804263,0.010316896555639336,0.20159373175368428,0.018451636656297055,29.040719804269475,0.7467404505809289,40.0,0.0,40.0,0.0
