scenario,strategy,seed,samples,avg_offered_load_mbps,avg_accepted_load_mbps,avg_capacity_mbps,avg_goodput_mbps,avg_queue,final_capacity_mbps,final_goodput_mbps,final_queue,final_blocked_rate,final_blocked_queue_cap_rate,final_blocked_timeout_rate,final_utilization,final_fairness,avg_utilization,avg_fairness,avg_acceptance_rate,avg_service_rate,final_mean_served_delay_s,final_p95_served_delay_s,final_mean_timeout_delay_s
baseline_timeout,longest_queue_first,47,600,776.7866375396233,776.7866375396233,153.03604101300377,152.88633527078213,74.55333333333333,156.5752581945789,156.57525819457888,76,0.7882205513784462,0.0,0.7882205513784462,1.0,0.9477478488339439,0.9995833333333334,0.9346008044329248,1.0,0.16730160501879712,15.368909512761022,20.0,20.0
baseline_timeout,longest_queue_first,48,600,786.1313096884865,786.1313096884865,153.02087686576374,152.88917322206393,76.17,156.8897009492942,156.88970094929422,73,0.7963726298433635,0.0,0.7963726298433635,1.0,0.9358558636271224,0.9975,0.9340628990408131,1.0,0.16693024251304298,15.695961995249407,20.0,20.0
baseline_timeout,longest_queue_first,49,600,743.3465389769656,743.3465389769656,153.26252293866958,152.84829221339697,74.29833333333333,154.4384619238724,154.4384619238724,83,0.7591362126245847,0.0,0.7591362126245847,1.0,0.9404863807213623,0.99875,0.9372712887384054,1.0,0.23137935468489668,15.35010060362173,20.0,20.0
baseline_timeout,longest_queue_first,50,600,778.7999490711376,778.7999490711376,152.87053638993123,152.61923386257155,75.50833333333334,152.42246982201254,152.42246982201257,82,0.7712875359934184,0.0,0.7712875359934184,1.0,0.9177952164861352,0.9983333333333333,0.9359310342609647,1.0,0.19939462412939482,15.61603375527426,20.0,20.0
baseline_timeout,longest_queue_first,51,600,770.4303003527792,770.4303003527792,153.15804348815718,152.96257488188775,75.42833333333333,151.82282151295317,150.407627652475,74,0.7765477654776548,0.0,0.7765477654776548,1.0,0.923454610812837,0.9989583333333333,0.9355229615839307,1.0,0.204134136762825,15.07855626326964,20.0,20.0
baseline_timeout,greedy_backlog,42,600,766.2760178948384,766.2760178948384,192.32082121974585,192.16252220529407,73.66166666666666,194.43721083235374,194.4372108323537,90,0.7263598326359832,0.0,0.7263598326359832,1.0,0.9860263466664072,0.99625,0.9848936208402768,1.0,0.22013303910656282,16.161347517730498,20.0,20.0
baseline_timeout,greedy_backlog,43,600,759.8008368706072,759.8008368706072,193.61244012003536,193.59273320638854,76.38333333333334,198.23403456312667,198.23403456312667,72,0.7225832656376929,0.0,0.7225832656376929,1.0,0.9891600280725243,0.9985416666666667,0.9860477748552334,1.0,0.24888936682756377,16.654664484451718,20.0,20.0
baseline_timeout,greedy_backlog,44,600,764.4133077715236,764.4133077715236,192.43234755821626,192.27607194667533,75.12333333333333,192.5612585364487,192.56125853644866,77,0.7166940789473685,0.0,0.7166940789473685,1.0,0.9888288603317824,0.9989583333333333,0.9835574132484862,1.0,0.265059805237121,16.354575163398692,20.0,20.0
baseline_timeout,greedy_backlog,45,600,787.1612102454801,787.1612102454801,192.86097150971608,192.68926739707533,74.92833333333333,186.89246780042413,186.89246780042413,78,0.7093596059113301,0.0,0.7093596059113301,1.0,0.9725394539508369,0.9985416666666667,0.9850671735800524,1.0,0.26466598266366637,16.106349206349208,20.0,20.0
baseline_timeout,greedy_backlog,46,600,752.7792334683929,752.7792334683929,193.33227075705634,193.2424343328822,71.51333333333334,191.49546813603246,191.49546813603243,66,0.7069408740359897,0.0,0.7069408740359897,1.0,0.9933311251979644,0.9985416666666667,0.984413530997845,1.0,0.2721687428334253,16.12297734627832,20.0,20.0
